[19-02-2019 18:55:04] - SN:92K2B2576500046, MODELO:TG1692BR
[19-02-2019 18:55:04] - SN:92K2B2576500047, MODELO:TG1692BR
[19-02-2019 18:55:04] - SN:92K2B2576500048, MODELO:TG1692BR
[19-02-2019 19:02:14] - SN:92K2B2576500049, MODELO:TG1692BR
[19-02-2019 19:02:14] - SN:92K2B2576500050, MODELO:TG1692BR
[19-02-2019 19:02:14] - SN:92K2B2576500051, MODELO:TG1692BR
[19-02-2019 19:02:14] - SN:92K2B2576500052, MODELO:TG1692BR
[19-02-2019 19:02:30] - SN:92K2B2576500053, MODELO:TG1692BR
[19-02-2019 19:02:30] - SN:92K2B2576500054, MODELO:TG1692BR
[19-02-2019 19:02:47] - SN:92K2B2576500055, MODELO:TG1692BR
[19-02-2019 19:02:48] - SN:92K2B2576500056, MODELO:TG1692BR
[19-02-2019 19:03:02] - SN:92K2B2576500057, MODELO:TG1692BR
[19-02-2019 19:03:02] - SN:92K2B2576500058, MODELO:TG1692BR
[19-02-2019 19:03:28] - SN:92K2B2576500059, MODELO:TG1692BR
[19-02-2019 19:03:28] - SN:92K2B2576500060, MODELO:TG1692BR
[19-02-2019 19:03:49] - SN:92K2B2576500061, MODELO:TG1692BR
[19-02-2019 19:03:49] - SN:92K2B2576500062, MODELO:TG1692BR
[19-02-2019 19:03:58] - SN:92K2B2576500063, MODELO:TG1692BR
[19-02-2019 19:03:58] - SN:92K2B2576500064, MODELO:TG1692BR
[19-02-2019 20:27:21] - SN:92K2B2576500065, MODELO:TG1692BR
[19-02-2019 20:27:21] - SN:92K2B2576500066, MODELO:TG1692BR
[19-02-2019 20:35:25] - SN:ZAGBBA190802QXJ;ZAGBBA190802QXK, MODELO:TG1692A-SMT
[19-02-2019 20:36:08] - SN:ZAGBBA190802QXL;ZAGBBA190802QXM, MODELO:TG1692A-SMT
[19-02-2019 20:38:46] - SN:ZAGBBA190802QXN;ZAGBBA190802QXP, MODELO:TG1692A-SMT
[19-02-2019 20:41:19] - SN:ZAGBBA190802QXJ;ZAGBBA190802QXK, MODELO:TG1692A-SMT
